ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
247,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,4,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
248,Mechanics,Kinematics,Derive and explain the significance of the formula 's = ut + 0.5at^2' in Kinematics.,The formula 's = ut + 0.5at^2' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,5,"m, s",s = ut + 0.5at^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
249,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
250,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
251,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
252,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
253,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,2,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
254,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
255,Mechanics,Dynamics,Calculate the force required to accelerate a 49 kg object at 2.40 m/s².,F = ma = 49 × 2.40 = 117.47 N,Newton's Second Law relates force with mass and acceleration.,5,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
256,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
257,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
258,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,5,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
259,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 6.42 kg of water by 28°C.,Q = mcΔT = 6.42 × 4.18 × 28 = 751.23 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
260,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
261,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",3,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
262,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 9.17 kg of water by 79°C.,Q = mcΔT = 9.17 × 4.18 × 79 = 3028.28 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",5,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
263,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
